"date","0–34","35–39","40–44","45–49","50–54","55–59","60–64","65–69","70–74","75–79","80–84","85–89","90+"
10/30/2016,26,9,24,42,93,139,205,258,308,313,427,388,295
11/06/2016,16,18,25,46,81,155,237,271,265,328,390,353,273
11/13/2016,26,19,27,49,77,131,238,289,265,321,416,365,248
11/20/2016,33,11,28,58,59,152,251,252,306,334,356,376,267
11/27/2016,31,15,32,47,81,130,243,284,303,330,386,363,294
12/04/2016,22,13,32,46,77,151,246,282,313,333,422,366,237
12/11/2016,34,18,28,49,76,165,280,293,307,329,397,396,263
12/18/2016,33,8,22,44,88,146,260,266,308,324,423,368,295
12/25/2016,31,16,29,54,91,163,269,316,317,348,446,430,335
01/01/2017,23,18,35,51,83,133,249,320,347,378,433,467,360
01/08/2017,43,14,40,56,83,159,282,369,326,443,487,476,377
01/15/2017,17,21,40,58,115,158,320,344,369,442,542,519,366
01/22/2017,33,11,33,57,96,157,341,344,381,455,601,529,411
01/29/2017,44,20,39,66,93,189,355,344,404,482,563,546,429
02/05/2017,38,17,38,56,91,180,336,396,369,480,577,586,452
02/12/2017,30,13,31,69,88,165,286,344,338,451,536,495,410
02/19/2017,32,13,26,44,82,136,287,300,330,388,486,493,374
02/26/2017,40,10,22,51,83,171,282,317,315,409,432,416,342
03/05/2017,18,14,30,60,94,153,239,281,308,369,384,402,316
03/12/2017,32,15,22,47,86,131,235,293,285,382,438,379,326
03/19/2017,32,12,24,51,81,124,245,267,305,350,426,412,253
03/26/2017,34,19,27,50,92,121,223,277,305,365,412,386,273
04/02/2017,32,15,25,40,80,132,251,275,284,363,374,354,321
04/09/2017,38,17,29,42,59,123,241,278,300,319,354,380,242
04/16/2017,37,13,17,35,75,145,246,277,303,343,404,323,274
04/23/2017,28,13,11,51,87,145,254,260,264,339,411,394,270
04/30/2017,32,16,24,39,77,130,220,254,292,376,375,360,285
05/07/2017,39,20,31,44,71,124,224,285,304,342,370,345,280
05/14/2017,35,18,24,46,66,141,238,261,253,306,368,359,225
05/21/2017,31,19,24,45,70,121,220,262,268,337,377,314,235
05/28/2017,24,7,21,51,82,137,225,239,246,324,310,311,232
06/04/2017,35,16,22,55,68,118,229,249,313,350,348,341,238
06/11/2017,28,12,27,28,81,119,226,204,274,289,326,304,208
06/18/2017,27,25,22,59,77,102,198,232,247,307,323,312,214
06/25/2017,23,17,18,48,80,130,257,235,236,317,368,327,241
07/02/2017,41,9,20,39,56,97,192,229,233,312,373,328,207
07/09/2017,25,19,26,44,77,124,205,228,235,287,314,339,220
07/16/2017,28,18,27,52,69,112,247,237,282,294,386,336,200
07/23/2017,26,11,23,47,82,130,213,241,268,297,344,360,229
07/30/2017,28,24,25,53,58,125,210,259,273,299,323,275,188
08/06/2017,43,15,29,56,92,140,237,314,301,323,423,400,284
08/13/2017,33,14,22,47,66,102,225,251,263,320,331,367,251
08/20/2017,29,11,24,43,60,136,181,243,272,281,333,317,217
08/27/2017,30,13,27,28,80,119,221,238,249,276,324,320,230
09/03/2017,28,10,21,47,94,122,194,240,269,320,344,336,214
09/10/2017,23,18,29,59,77,115,203,250,262,291,318,311,230
09/17/2017,30,17,22,53,68,141,223,231,258,295,364,344,244
09/24/2017,27,17,25,51,79,151,225,245,277,325,328,326,236
10/01/2017,30,14,20,58,78,124,227,251,271,311,364,351,252
10/08/2017,32,11,25,50,62,110,226,258,270,319,385,396,284
10/15/2017,34,23,28,47,69,145,232,299,280,362,355,358,264
10/22/2017,22,21,15,48,90,108,250,267,276,319,336,370,235
10/29/2017,35,14,22,49,72,144,240,253,265,293,374,324,253
11/05/2017,38,16,30,55,59,133,251,260,278,311,349,356,261
11/12/2017,34,20,22,49,66,123,240,270,275,302,343,333,247
11/19/2017,30,6,26,52,87,126,246,273,269,329,366,349,264
11/26/2017,42,16,35,53,73,135,224,287,309,334,376,364,255
12/03/2017,26,13,24,45,68,139,222,272,313,304,409,341,261
12/10/2017,24,26,19,56,82,143,252,293,317,354,403,399,287
12/17/2017,35,11,42,40,78,133,235,287,267,369,379,372,332
12/24/2017,34,12,27,56,78,158,245,318,269,343,399,387,279
12/31/2017,40,15,21,53,86,138,262,286,286,369,407,376,289
01/07/2018,28,18,20,49,86,140,247,279,287,351,397,386,307
01/14/2018,32,15,27,48,62,125,247,269,272,337,425,414,273
01/21/2018,23,17,37,45,75,148,253,265,320,404,414,399,275
01/28/2018,30,20,30,49,78,132,262,294,271,361,412,408,308
02/04/2018,34,17,27,47,67,131,265,295,329,354,436,420,309
02/11/2018,37,13,34,36,85,150,265,283,314,370,435,476,335
02/18/2018,34,17,29,49,86,130,285,320,353,426,464,492,352
02/25/2018,29,18,34,47,84,149,329,337,358,413,487,491,385
03/04/2018,34,18,32,66,87,128,306,335,358,475,524,491,383
03/11/2018,27,17,39,72,91,146,287,346,377,444,509,486,377
03/18/2018,31,14,38,61,74,143,283,326,334,403,494,445,370
03/25/2018,28,18,29,51,97,143,278,308,311,387,425,449,354
04/01/2018,41,12,26,47,82,131,243,293,314,375,461,423,326
04/08/2018,36,14,40,39,93,150,245,290,311,361,376,369,298
04/15/2018,37,17,35,44,89,110,240,317,310,304,409,389,275
04/22/2018,29,19,33,45,68,125,243,235,268,335,356,324,256
04/29/2018,30,12,18,45,69,122,217,247,276,343,355,317,249
05/06/2018,23,15,34,44,67,135,227,239,269,303,330,362,246
05/13/2018,32,15,21,50,67,131,198,253,244,286,332,309,222
05/20/2018,30,11,32,42,77,136,199,235,243,261,344,324,220
05/27/2018,33,15,30,37,77,122,235,256,263,289,404,336,255
06/03/2018,28,18,27,43,57,121,241,283,295,297,377,347,259
06/10/2018,29,11,32,49,87,111,240,248,245,304,321,334,217
06/17/2018,30,18,30,42,89,117,244,253,267,301,308,302,242
06/24/2018,25,11,28,38,59,117,199,262,253,292,340,308,256
07/01/2018,30,12,26,38,71,112,210,230,246,298,315,308,244
07/08/2018,34,9,27,47,71,105,197,241,276,308,331,342,237
07/15/2018,38,12,26,44,68,124,199,264,278,334,335,339,224
07/22/2018,34,12,25,39,65,122,236,277,273,286,347,324,225
07/29/2018,29,6,36,46,94,139,235,263,290,329,371,332,219
08/05/2018,38,14,23,50,61,124,231,302,285,333,381,357,280
08/12/2018,32,23,26,52,81,124,214,260,274,342,376,335,280
08/19/2018,28,7,28,39,74,114,209,245,279,304,340,311,221
08/26/2018,35,12,27,39,89,108,187,241,301,344,346,354,240
09/02/2018,27,11,21,48,70,113,208,267,254,332,323,310,270
09/09/2018,34,16,37,45,82,128,220,258,257,308,344,316,222
09/16/2018,32,15,24,40,79,116,259,265,251,330,373,321,251
09/23/2018,33,13,24,43,85,103,237,277,279,318,351,350,272
09/30/2018,30,10,26,47,87,140,221,286,275,302,346,340,252
10/07/2018,24,14,31,37,90,117,224,286,304,336,373,385,277
10/14/2018,29,15,27,31,80,134,236,266,274,357,382,361,320
10/21/2018,31,15,34,55,63,144,232,262,252,315,394,365,270
10/28/2018,27,17,27,48,64,121,240,291,287,317,351,361,258
11/04/2018,17,19,17,45,72,128,224,272,280,320,364,341,262
11/11/2018,25,9,26,46,75,123,221,258,265,318,364,344,288
11/18/2018,29,11,35,53,92,123,213,276,291,334,322,374,255
11/25/2018,28,14,21,62,74,153,219,266,327,373,391,365,262
12/02/2018,31,12,34,41,90,111,226,311,293,334,414,370,292
12/09/2018,29,16,30,50,70,134,267,260,309,387,402,422,268
